metric,2025_comparison,2026,value_change,percent_change,authority,source_url
Total refunds issued,93569000,99138000,5569000,6.0,Internal Revenue Service,https://www.irs.gov/newsroom/filing-season-statistics-for-week-ending-may-8-2026
Total amount refunded dollars,274979000000,324757000000,49778000000,18.1,Internal Revenue Service,https://www.irs.gov/newsroom/filing-season-statistics-for-week-ending-may-8-2026
Average refund amount dollars,2939,3276,337,11.5,Internal Revenue Service,https://www.irs.gov/newsroom/filing-season-statistics-for-week-ending-may-8-2026
