metric,value,unit,period,authority
Real GDP growth,1.5,percent SAAR,2026 Q2 advance,U.S. Bureau of Economic Analysis
Real final sales to private domestic purchasers,3.9,percent SAAR,2026 Q2 advance,U.S. Bureau of Economic Analysis
Gross domestic purchases price index,5.7,percent SAAR,2026 Q2 advance,U.S. Bureau of Economic Analysis
PCE price index,5.1,percent SAAR,2026 Q2 advance,U.S. Bureau of Economic Analysis
Core PCE price index,3.4,percent SAAR,2026 Q2 advance,U.S. Bureau of Economic Analysis
Federal funds target lower bound,3.50,percent,2026-07-29,Federal Open Market Committee
Federal funds target upper bound,3.75,percent,2026-07-29,Federal Open Market Committee
FOMC votes for hold,9,votes,2026-07-29,Federal Open Market Committee
FOMC dissents preferring 25bp hike,3,votes,2026-07-29,Federal Open Market Committee
