metric,2025_comparable,2026_through_may_8,percent_change,authority
Total number of refunds,93569000,99138000,6.0,Internal Revenue Service
Total amount refunded USD,274979000000,324757000000,18.1,Internal Revenue Service
Average refund amount USD,2939,3276,11.5,Internal Revenue Service
Total number of direct deposit refunds,86937000,99225000,14.1,Internal Revenue Service
Total direct deposit amount USD,263726000000,324744000000,23.1,Internal Revenue Service
Average direct deposit refund USD,3034,3273,7.9,Internal Revenue Service
