series,july_2026_monthly_percent_sa,july_2026_annual_percent_nsa,authority
All items,0.1,3.4,U.S. Bureau of Labor Statistics
Food,0.1,3.0,U.S. Bureau of Labor Statistics
Food at home,-0.1,2.7,U.S. Bureau of Labor Statistics
Food away from home,0.3,3.4,U.S. Bureau of Labor Statistics
Energy,-1.5,14.7,U.S. Bureau of Labor Statistics
Gasoline all types,-2.9,24.6,U.S. Bureau of Labor Statistics
All items less food and energy,0.2,2.5,U.S. Bureau of Labor Statistics
Shelter,0.1,3.2,U.S. Bureau of Labor Statistics
